trial,timestamp,learning_rate,hidden_dim,num_layers,dropout_rate,max_epochs,test_approximation_rate,val_approximation_rate,test_infeasible_rate,val_infeasible_rate,test_mean_load_factor,val_mean_load_factor,test_loss,val_loss,test_time,val_time
93,2025-09-23T16:11:01.326647,0.001,128,10,0.4,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
94,2025-09-23T16:11:01.410927,0.001,128,10,0.4,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
95,2025-09-23T16:11:01.495467,0.001,128,10,0.4,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
96,2025-09-23T16:11:01.582860,0.001,128,15,0.2,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
97,2025-09-23T16:11:01.670491,0.001,128,15,0.2,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
98,2025-09-23T16:11:01.758345,0.001,128,15,0.2,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
99,2025-09-23T16:11:01.845961,0.001,128,15,0.2,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
100,2025-09-23T16:11:01.933330,0.001,128,15,0.3,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
101,2025-09-23T16:11:02.020917,0.001,128,15,0.3,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
102,2025-09-23T16:11:02.108620,0.001,128,15,0.3,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
103,2025-09-23T16:11:02.196474,0.001,128,15,0.3,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
104,2025-09-23T16:11:02.284306,0.001,128,15,0.4,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
105,2025-09-23T16:11:02.372147,0.001,128,15,0.4,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
106,2025-09-23T16:11:02.459894,0.001,128,15,0.4,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
107,2025-09-23T16:11:02.547871,0.001,128,15,0.4,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
108,2025-09-23T16:11:02.628052,0.01,32,5,0.2,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
109,2025-09-23T16:11:02.707620,0.01,32,5,0.2,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
110,2025-09-23T16:11:02.786774,0.01,32,5,0.2,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
111,2025-09-23T16:11:02.865943,0.01,32,5,0.2,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
112,2025-09-23T16:11:02.944977,0.01,32,5,0.3,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
113,2025-09-23T16:11:03.024080,0.01,32,5,0.3,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
114,2025-09-23T16:11:03.103137,0.01,32,5,0.3,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
115,2025-09-23T16:11:03.182437,0.01,32,5,0.3,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
116,2025-09-23T16:11:03.261847,0.01,32,5,0.4,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
117,2025-09-23T16:11:03.341123,0.01,32,5,0.4,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
118,2025-09-23T16:11:03.420465,0.01,32,5,0.4,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
119,2025-09-23T16:11:03.499893,0.01,32,5,0.4,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
120,2025-09-23T16:11:03.580905,0.01,32,10,0.2,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
121,2025-09-23T16:11:03.662247,0.01,32,10,0.2,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
122,2025-09-23T16:11:03.743855,0.01,32,10,0.2,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
123,2025-09-23T16:11:03.825365,0.01,32,10,0.2,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
124,2025-09-23T16:11:03.906518,0.01,32,10,0.3,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
125,2025-09-23T16:11:03.988238,0.01,32,10,0.3,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
126,2025-09-23T16:11:04.069636,0.01,32,10,0.3,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
127,2025-09-23T16:11:04.151042,0.01,32,10,0.3,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
128,2025-09-23T16:11:04.232630,0.01,32,10,0.4,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
129,2025-09-23T16:11:04.314665,0.01,32,10,0.4,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
130,2025-09-23T16:11:04.397197,0.01,32,10,0.4,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
131,2025-09-23T16:11:04.478873,0.01,32,10,0.4,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
132,2025-09-23T16:11:04.563021,0.01,32,15,0.2,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
133,2025-09-23T16:11:04.646648,0.01,32,15,0.2,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
134,2025-09-23T16:11:04.731200,0.01,32,15,0.2,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
135,2025-09-23T16:11:04.814676,0.01,32,15,0.2,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
136,2025-09-23T16:11:04.899146,0.01,32,15,0.3,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
137,2025-09-23T16:11:05.064202,0.01,32,15,0.3,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
138,2025-09-23T16:11:05.148000,0.01,32,15,0.3,15,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
139,2025-09-23T16:11:05.231566,0.01,32,15,0.3,20,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
140,2025-09-23T16:11:05.315608,0.01,32,15,0.4,5,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
141,2025-09-23T16:11:05.399453,0.01,32,15,0.4,10,0.0,0.0,100.0,100.0,0.0,0.0,inf,inf,0.0,0.0
