trial,timestamp,learning_rate,hidden_dim,num_layers,dropout_rate,test_approximation_rate,val_approximation_rate,test_infeasible_rate,val_infeasible_rate,test_mean_load_factor,val_mean_load_factor,test_loss,val_loss,test_time,val_time
30,2025-09-25T19:05:16.793646,0.01,32,10,0.2,tensor(62.7479),tensor(62.4089),0.0,0.0,tensor(0.5234),tensor(0.5222),1.1422135382890701,1.1421708911657333,8.281619787216187,8.237936019897461
31,2025-09-25T19:10:43.874323,0.01,32,10,0.3,tensor(62.7479),tensor(62.4089),0.0,0.0,tensor(0.5234),tensor(0.5222),1.1422135382890701,1.1421708911657333,8.319543600082397,8.315158367156982
32,2025-09-25T19:16:10.106306,0.01,32,10,0.4,tensor(62.7479),tensor(62.4089),0.0,0.0,tensor(0.5234),tensor(0.5222),1.1422135382890701,1.1421708911657333,8.28685212135315,8.217050313949585
33,2025-09-25T19:23:03.240093,0.01,32,15,0.2,tensor(62.8647),tensor(62.2304),0.0,0.0,tensor(0.5224),tensor(0.5237),0.8911990411579609,0.8911312110722065,8.489911079406738,8.396828174591064
34,2025-09-25T19:29:55.431600,0.01,32,15,0.3,tensor(62.8647),tensor(62.2304),0.0,0.0,tensor(0.5224),tensor(0.5237),0.8911990411579609,0.8911312110722065,8.453373670578003,8.428083658218384
35,2025-09-25T19:36:48.622297,0.01,32,15,0.4,tensor(62.8647),tensor(62.2304),0.0,0.0,tensor(0.5224),tensor(0.5237),0.8911990411579609,0.8911312110722065,8.551260709762573,8.475623846054077
36,2025-09-25T19:41:24.792757,0.01,64,5,0.2,tensor(62.8441),tensor(62.3240),0.0,0.0,tensor(0.5226),tensor(0.5230),0.2716203834861517,0.2714847959578037,8.239497423171997,8.257681846618652
37,2025-09-25T19:45:59.721687,0.01,64,5,0.3,tensor(62.8441),tensor(62.3240),0.0,0.0,tensor(0.5226),tensor(0.5230),0.2716203834861517,0.2714847959578037,8.317776203155518,8.151331424713135
38,2025-09-25T19:50:34.475620,0.01,64,5,0.4,tensor(62.8441),tensor(62.3240),0.0,0.0,tensor(0.5226),tensor(0.5230),0.2716203834861517,0.2714847959578037,8.263301610946655,8.163326501846313
39,2025-09-25T19:57:08.021381,0.01,64,10,0.2,tensor(62.5472),tensor(62.1374),0.0,0.0,tensor(0.5251),tensor(0.5245),1.1888254061341286,1.1887883692979813,8.542683124542236,8.482914447784424
40,2025-09-25T20:03:42.974843,0.01,64,10,0.3,tensor(62.5472),tensor(62.1374),0.0,0.0,tensor(0.5251),tensor(0.5245),1.1888254061341286,1.1887883692979813,8.51876163482666,8.436257600784302
41,2025-09-25T20:10:17.548277,0.01,64,10,0.4,tensor(62.5472),tensor(62.1374),0.0,0.0,tensor(0.5251),tensor(0.5245),1.1888254061341286,1.1887883692979813,8.536422729492188,8.434764385223389
42,2025-09-25T20:18:44.264691,0.01,64,15,0.2,tensor(62.9138),tensor(62.2461),0.0,0.0,tensor(0.5220),tensor(0.5236),1.0696981325745583,1.0692750588059425,8.69153356552124,8.595967769622803
43,2025-09-25T20:27:11.227464,0.01,64,15,0.3,tensor(62.9138),tensor(62.2461),0.0,0.0,tensor(0.5220),tensor(0.5236),1.0696981325745583,1.0692750588059425,8.67579436302185,8.616859912872314
44,2025-09-25T20:35:40.504849,0.01,64,15,0.4,tensor(62.9138),tensor(62.2461),0.0,0.0,tensor(0.5220),tensor(0.5236),1.0696981325745583,1.0692750588059425,8.708300828933716,8.61098837852478
45,2025-09-25T20:41:34.278663,0.01,128,5,0.2,tensor(62.6292),tensor(62.4071),0.0,0.0,tensor(0.5244),tensor(0.5223),0.27161164954304695,0.2714751213788986,8.530635118484497,8.444439888000488
