==================================================
TRAINING/EVALUATION RESULTS
==================================================
Timestamp: 20250901_184535
Mode: reinforcement_learning
Config File: configs/nsfnet_25_commodities_rl.json
Model Hash: unknown

FINAL METRICS:
  Final Train Loss: 0.0000
  Final Train Edge Error: 0.19%
  Final Test Approximation Rate: 84.04%
  Best Test Approximation Rate: 100.00%

TIME METRICS:
  Total Training Time: 4982.86s
  Total Test Time: 465.85s
  Average Training Time per Epoch: 1.56s
  Average Test Time per Epoch: 1.46s
  Training Time per Data: 0.0005s
  Test Time per Data: 0.0045s
  Total Training Samples: 10240000
  Total Test Samples: 102400

==================================================
DETAILED RESULTS
==================================================
Epoch  Train Loss   Edge Error   Train Time   Val Approx   Test Approx 
290    0.0000       0.12         1.56         N/A          81.94%      
291    0.0000       0.12         1.56         N/A          67.41%      
292    0.0000       0.06         1.53         N/A          92.88%      
293    0.0000       0.13         1.56         N/A          88.98%      
294    0.0000       0.19         1.53         N/A          75.87%      
295    0.0000       0.07         1.52         N/A          74.91%      
296    0.0000       0.16         1.52         N/A          88.51%      
297    0.0000       0.25         1.52         N/A          92.91%      
298    0.0000       0.10         1.54         N/A          58.37%      
299    0.0000       0.04         1.48         N/A          79.26%      
300    0.0000       0.13         1.54         N/A          90.46%      
301    0.0000       0.11         1.60         N/A          89.62%      
302    0.0000       0.18         1.59         N/A          74.33%      
303    0.0000       0.08         1.56         N/A          82.78%      
304    0.0000       0.27         1.59         N/A          88.05%      
305    0.0000       0.04         1.49         N/A          100.00%     
306    0.0000       0.24         1.56         N/A          77.61%      
307    0.0000       0.13         1.60         N/A          90.99%      
308    0.0000       0.02         1.52         N/A          59.21%      
309    0.0000       0.26         1.53         N/A          81.98%      
310    0.0000       0.23         1.56         N/A          92.73%      
311    0.0000       0.17         1.56         N/A          75.19%      
312    0.0000       0.14         1.54         N/A          81.54%      
313    0.0000       0.25         1.59         N/A          84.41%      
314    0.0000       0.15         1.50         N/A          90.37%      
315    0.0000       0.21         1.58         N/A          84.72%      
316    0.0000       0.04         1.54         N/A          80.08%      
317    0.0000       0.34         1.55         N/A          73.02%      
318    0.0000       0.10         1.52         N/A          88.24%      
319    0.0000       0.05         1.57         N/A          97.04%      
320    0.0000       0.09         1.55         N/A          84.04%      
321    0.0000       0.09         1.56         N/A          N/A         
322    0.0000       0.14         1.57         N/A          N/A         
323    0.0000       0.22         1.54         N/A          N/A         
324    0.0000       0.03         1.56         N/A          N/A         
325    0.0000       0.06         1.53         N/A          N/A         
326    0.0000       0.13         1.54         N/A          N/A         
327    0.0000       0.07         1.57         N/A          N/A         
328    0.0000       0.13         1.57         N/A          N/A         
329    0.0000       0.12         1.58         N/A          N/A         
330    0.0000       0.08         1.52         N/A          N/A         
331    0.0000       0.14         1.55         N/A          N/A         
332    0.0000       0.09         1.57         N/A          N/A         
333    0.0000       0.27         1.56         N/A          N/A         
334    0.0000       0.04         1.52         N/A          N/A         
335    0.0000       0.26         1.53         N/A          N/A         
336    0.0000       0.24         1.54         N/A          N/A         
337    0.0000       0.07         1.59         N/A          N/A         
338    0.0000       0.13         1.56         N/A          N/A         
339    0.0000       0.03         1.50         N/A          N/A         
340    0.0000       0.09         1.55         N/A          N/A         
341    0.0000       0.37         1.58         N/A          N/A         
342    0.0000       0.01         1.52         N/A          N/A         
343    0.0000       0.09         1.54         N/A          N/A         
344    0.0000       0.05         1.54         N/A          N/A         
345    0.0000       0.20         1.59         N/A          N/A         
346    0.0000       0.04         1.58         N/A          N/A         
347    0.0000       0.14         1.56         N/A          N/A         
348    0.0000       0.15         1.54         N/A          N/A         
349    0.0000       0.18         1.58         N/A          N/A         
350    0.0000       0.20         1.56         N/A          N/A         
351    0.0000       0.03         1.53         N/A          N/A         
352    0.0000       0.14         1.57         N/A          N/A         
353    0.0000       0.02         1.51         N/A          N/A         
354    0.0000       0.11         1.53         N/A          N/A         
355    0.0000       0.08         1.52         N/A          N/A         
356    0.0000       0.10         1.52         N/A          N/A         
357    0.0000       0.10         1.52         N/A          N/A         
358    0.0000       0.10         1.57         N/A          N/A         
359    0.0000       0.20         1.52         N/A          N/A         
360    0.0000       0.09         1.51         N/A          N/A         
361    0.0000       0.21         1.58         N/A          N/A         
362    0.0000       0.09         1.53         N/A          N/A         
363    0.0000       0.06         1.52         N/A          N/A         
364    0.0000       0.11         1.55         N/A          N/A         
365    0.0000       0.08         1.57         N/A          N/A         
366    0.0000       0.23         1.58         N/A          N/A         
367    0.0000       0.13         1.51         N/A          N/A         
368    0.0000       0.15         1.59         N/A          N/A         
369    0.0000       0.09         1.54         N/A          N/A         
370    0.0000       0.08         1.58         N/A          N/A         
371    0.0000       0.09         1.52         N/A          N/A         
372    0.0000       0.08         1.56         N/A          N/A         
373    0.0000       0.00         1.49         N/A          N/A         
374    0.0000       0.18         1.56         N/A          N/A         
375    0.0000       0.15         1.52         N/A          N/A         
376    0.0000       0.03         1.52         N/A          N/A         
377    0.0000       0.06         1.50         N/A          N/A         
378    0.0000       0.26         1.58         N/A          N/A         
379    0.0000       0.10         1.56         N/A          N/A         
380    0.0000       0.08         1.57         N/A          N/A         
381    0.0000       0.16         1.56         N/A          N/A         
382    0.0000       0.13         1.53         N/A          N/A         
383    0.0000       0.12         1.57         N/A          N/A         
384    0.0000       0.08         1.52         N/A          N/A         
385    0.0000       0.25         1.56         N/A          N/A         
386    0.0000       0.19         1.58         N/A          N/A         
387    0.0000       0.07         1.56         N/A          N/A         
388    0.0000       0.09         1.56         N/A          N/A         
389    0.0000       0.14         1.56         N/A          N/A         
390    0.0000       0.14         1.52         N/A          N/A         
391    0.0000       0.22         1.59         N/A          N/A         
392    0.0000       0.04         1.53         N/A          N/A         
393    0.0000       0.08         1.53         N/A          N/A         
394    0.0000       0.23         1.57         N/A          N/A         
